X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.274,-0.003,-1.15352925,5.410601483,-5.094754188,-1434,-0.329589844
-0.275,-0.003,-1.126064268,5.616588849,-5.163416644,-1433,-0.671386719
-0.276,-0.003,-1.098599286,5.451798956,-5.094754188,-1433,-0.720214844
-0.277,-0.003,-1.057401813,5.341939028,-5.108486679,-1433,-0.793457031
-0.278,-0.003,-1.112331777,5.479263938,-5.108486679,-1432,-0.543212891
-0.279,-0.003,-1.126064268,5.767646251,-5.108486679,-1433,-0.1953125
-0.28,-0.003,-1.112331777,5.410601483,-5.108486679,-1432,0
-0.281,-0.003,-1.15352925,5.410601483,-5.053556715,-1433,-0.018310547
-0.282,-0.003,-1.084866795,5.63032134,-5.122219171,-1433,-0.286865234
-0.283,-0.003,-1.126064268,5.616588849,-5.094754188,-1434,-0.579833984
-0.284,-0.003,-1.084866795,5.36940401,-5.094754188,-1434,-0.87890625
-0.285,-0.003,-1.084866795,5.355671519,-5.039824224,-1433,-0.842285156
-0.286,-0.003,-1.084866795,5.479263938,-5.177149135,-1433,-0.738525391
-0.287,-0.003,-1.084866795,5.534193903,-5.067289206,-1433,-0.140380859
-0.288,-0.003,-1.043669322,5.177149135,-5.108486679,-1433,0.201416016
-0.289,-0.003,-1.084866795,5.204614117,-5.094754188,-1433,0.506591797
-0.29,-0.003,-1.071134304,5.341939028,-5.094754188,-1434,0.68359375
-0.291,-0.003,-1.098599286,5.355671519,-5.094754188,-1435,0.531005859
-0.292,-0.003,-1.098599286,5.135951662,-5.039824224,-1435,0.476074219
-0.293,-0.003,-1.126064268,5.067289206,-5.177149135,-1434,0.29296875
-0.294,-0.003,-1.084866795,5.149684153,-5.067289206,-1434,-0.061035156
-0.295,-0.003,-1.098599286,5.383136501,-5.094754188,-1434,0.091552734
-0.294,-0.003,-1.098599286,4.957429278,-5.039824224,-1433,0.231933594
-0.296,-0.003,-1.098599286,4.916231804,-5.122219171,-1433,0.500488281
